cfg_idx,cfg_label,seq_len,scaler,lr,batch_size,dropout,loss,arch,val_mape,val_mae,epochs,time_s
6,cfg06|seq60|robust|lr0.0005|bs32|do0.1|mape_safe|lstm_light,60,robust,0.0005,32,0.1,mape_safe,lstm_light,19.9826,504.4138,24,61.3
8,cfg08|seq30|robust|lr0.0005|bs32|do0.1|mae|bilstm,30,robust,0.0005,32,0.1,mae,bilstm,20.2063,476.8095,20,48.6
5,cfg05|seq60|standard|lr0.001|bs32|do0.1|huber|lstm_light,60,standard,0.001,32,0.1,huber,lstm_light,20.3426,498.8821,14,35.4
10,cfg10|seq60|minmax|lr0.001|bs32|do0.1|mae|lstm_light,60,minmax,0.001,32,0.1,mae,lstm_light,20.3841,485.52,20,47.9
9,cfg09|seq120|standard|lr0.001|bs32|do0.1|mae|lstm_light,120,standard,0.001,32,0.1,mae,lstm_light,21.2252,522.9828,32,101.0
7,cfg07|seq60|standard|lr0.001|bs32|do0.1|mae|bilstm,60,standard,0.001,32,0.1,mae,bilstm,21.411,519.8587,15,48.0
4,cfg04|seq15|standard|lr0.001|bs32|do0.1|mae|lstm_light,15,standard,0.001,32,0.1,mae,lstm_light,21.4595,508.4066,28,53.5
3,cfg03|seq30|robust|lr0.0005|bs64|do0.2|mae|lstm_light,30,robust,0.0005,64,0.2,mae,lstm_light,21.6042,503.2861,38,43.1
0,cfg00|seq60|standard|lr0.001|bs32|do0.1|mae|lstm_light,60,standard,0.001,32,0.1,mae,lstm_light,21.608,507.5064,19,54.7
2,cfg02|seq30|robust|lr0.001|bs32|do0.1|mae|lstm_light,30,robust,0.001,32,0.1,mae,lstm_light,21.772,510.8749,25,48.8
1,cfg01|seq60|standard|lr0.0005|bs32|do0.1|mae|lstm_light,60,standard,0.0005,32,0.1,mae,lstm_light,21.8561,508.6706,18,47.9
11,cfg11|seq30|standard|lr0.0001|bs32|do0.1|mae|lstm_light,30,standard,0.0001,32,0.1,mae,lstm_light,23.6852,560.8988,15,30.2
