tick,timestamp_wib,intersectionId,vehicle_count_1min,volume_veh_per_hour,avg_speed_kmh,queue_length_veh,wait_time_min,green_seconds,density_percent,weather_temp_c,accident_count,roadwork_flag,event_flag,date_only,is_holiday,is_weekend,day_name,hour,minute,day,day_of_week,month,hour_sin,hour_cos,traffic_period,congestion_level,lag_1,lag_5,lag_15,lag_30,lag_60,lag_speed_15,lag_queue_15,roll_mean_15,roll_std_15,roll_min_15,roll_max_15,roll_median_15,roll_mean_60,roll_std_60,roll_min_60,roll_max_60,delta_volume,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Hot,weather_condition_Rain,target_volume_15m,target_volume_2h,target_volume_4h,weather_condition
60,2026-05-01 01:00:00+07:00,TMG-1012,40,2423.33,55.9275,0,0.0,24.5,0.055,31.3,0,0,0,2026-05-01,1,0,Friday,1,0,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1921.49,2019.83,2050.19,1202.11,1569.9499999999998,56.22,0.0,1809.508,396.1919347848608,838.01,2488.06,1921.49,1795.1660000000002,388.8088103477954,838.01,2904.34,501.8399999999999,1,0,0,0,1814.6,1419.41,2034.38,Clear
61,2026-05-01 01:01:00+07:00,TMG-1012,35,2162.67,56.765,0,0.0,24.0,0.175,31.3,0,0,0,2026-05-01,1,0,Friday,1,1,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,2423.33,2058.75,2207.35,1638.18,1556.19,55.8425,0.0,1834.3840000000002,423.17845615565744,838.01,2488.06,1921.49,1809.389,395.9732765709136,838.01,2904.34,-260.65999999999985,1,0,0,0,1631.04,1258.1,1150.77,Clear
62,2026-05-01 01:02:00+07:00,TMG-1012,17,1016.72,57.019999999999996,0,0.0,23.75,0.28250000000000003,31.4,0,0,0,2026-05-01,1,0,Friday,1,2,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,2162.67,1632.1799999999998,1682.08,1599.06,1555.34,55.345,0.0,1831.4053333333331,420.51457035851865,838.01,2488.06,1921.49,1819.497,397.1394055983153,838.01,2904.34,-1145.95,1,0,0,0,1920.82,2058.73,1379.26,Clear
63,2026-05-01 01:03:00+07:00,TMG-1012,27,1681.26,56.37,0,0.0,25.5,0.0575,31.6,0,0,0,2026-05-01,1,0,Friday,1,3,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1016.72,1511.73,1388.72,2285.89,1623.08,56.325,0.0,1787.048,469.6165302091849,838.01,2488.06,1921.49,1810.52,409.118513777187,838.01,2904.34,664.54,1,0,0,0,1617.29,1379.34,2467.49,Clear
64,2026-05-01 01:04:00+07:00,TMG-1012,31,1920.1200000000001,55.55,0,0.0,25.0,0.3975,31.5,0,0,0,2026-05-01,1,0,Friday,1,4,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1681.26,1921.49,2045.5,2904.34,1487.44,57.065,0.0,1806.5506666666665,457.8190684018971,838.01,2488.06,1921.49,1811.4896666666668,408.73549358788404,838.01,2904.34,238.86000000000013,1,0,0,0,1324.6399999999999,1187.3200000000002,1540.43,Clear
65,2026-05-01 01:05:00+07:00,TMG-1012,26,1558.27,55.542500000000004,0,0.0,27.5,0.375,31.4,0,0,0,2026-05-01,1,0,Friday,1,5,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1920.1200000000001,2423.33,1971.58,1682.02,1879.58,55.5,0.0,1798.1919999999998,454.2756708242883,838.01,2488.06,1920.1200000000001,1818.701,406.7333629266565,838.01,2904.34,-361.85000000000014,1,0,0,0,2265.96,1782.2,1786.75,Clear
66,2026-05-01 01:06:00+07:00,TMG-1012,38,2328.41,56.23,0,0.0,25.25,0.1375,31.2,0,0,0,2026-05-01,1,0,Friday,1,6,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1558.27,2162.67,838.01,1672.86,1872.8000000000002,55.754999999999995,0.0,1770.638,455.5405121736469,838.01,2488.06,1764.17,1813.3458333333333,408.0313851973566,838.01,2904.34,770.1399999999999,1,0,0,0,1971.8400000000001,1515.6699999999998,1980.79,Clear
67,2026-05-01 01:07:00+07:00,TMG-1012,29,1714.9299999999998,54.11,0,0.0,27.5,0.03,31.4,0,0,0,2026-05-01,1,0,Friday,1,7,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,2328.41,1016.72,2488.06,1373.11,2125.31,55.945,0.0,1869.9979999999998,396.2744980115244,1016.72,2488.06,1920.1200000000001,1820.9393333333333,413.36124658199316,838.01,2904.34,-613.48,1,0,0,0,1957.8,1317.5,1180.46,Clear
68,2026-05-01 01:08:00+07:00,TMG-1012,28,1683.13,56.435,0,0.0,25.25,0.2875,31.5,0,0,0,2026-05-01,1,0,Friday,1,8,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1714.9299999999998,1681.26,1764.17,1433.06,1993.8400000000001,55.795,0.0,1818.456,358.6348591892793,1016.72,2423.33,1764.17,1814.0996666666665,411.63117652992776,838.01,2904.34,-31.799999999999727,1,0,0,0,1163.99,1343.42,1310.62,Clear
69,2026-05-01 01:09:00+07:00,TMG-1012,43,2597.84,56.5125,0,0.0,25.5,0.0,31.7,0,0,0,2026-05-01,1,0,Friday,1,9,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1683.13,1920.1200000000001,1562.98,2295.01,1837.6499999999999,53.955,0.0,1813.0533333333333,360.118412622187,1016.72,2423.33,1714.9299999999998,1808.9211666666667,411.28592797403536,838.01,2904.34,914.71,1,0,0,0,1523.32,1064.25,1799.92,Clear
70,2026-05-01 01:10:00+07:00,TMG-1012,32,1884.02,54.9125,0,0.0,24.25,0.20500000000000002,31.9,0,0,0,2026-05-01,1,0,Friday,1,10,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,2597.84,1558.27,2019.83,2043.99,1418.29,55.075,0.0,1882.044,405.1059433178295,1016.72,2597.84,1920.1200000000001,1821.5910000000001,423.7073433865186,838.01,2904.34,-713.8200000000002,1,0,0,0,2327.53,1056.94,1602.06,Clear
71,2026-05-01 01:11:00+07:00,TMG-1012,28,1661.3600000000001,55.1025,0,0.0,24.75,0.055,31.9,0,0,0,2026-05-01,1,0,Friday,1,11,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1884.02,2328.41,2058.75,1744.46,2025.99,55.245,0.0,1872.9900000000002,403.32022490111456,1016.72,2597.84,1884.02,1829.3531666666668,420.4472490965463,838.01,2904.34,-222.65999999999985,1,0,0,0,1608.98,1613.6200000000001,1953.92,Clear
72,2026-05-01 01:12:00+07:00,TMG-1012,39,2406.44,55.925,0,0.0,24.75,0.0,31.8,0,0,0,2026-05-01,1,0,Friday,1,12,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1661.3600000000001,1714.9299999999998,1632.1799999999998,2066.76,1251.57,56.317499999999995,0.0,1846.4973333333332,403.2983131888259,1016.72,2597.84,1714.9299999999998,1823.276,420.19199021157726,838.01,2904.34,745.0799999999999,1,0,0,0,999.96,1215.3600000000001,1315.5,Clear
73,2026-05-01 01:13:00+07:00,TMG-1012,39,2411.77,56.2775,0,0.0,26.75,0.2625,31.8,0,0,0,2026-05-01,1,0,Friday,1,13,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,2406.44,1683.13,1511.73,1547.65,1340.55,55.685,0.0,1898.1146666666668,422.9768691728166,1016.72,2597.84,1884.02,1842.5238333333332,420.01051166866677,838.01,2904.34,5.329999999999927,1,0,0,0,1423.76,1269.34,2450.38,Clear
74,2026-05-01 01:14:00+07:00,TMG-1012,23,1401.17,56.1475,0,0.0,25.5,0.1325,31.6,0,0,0,2026-05-01,1,0,Friday,1,14,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,2411.77,2597.84,1921.49,2244.63,1292.08,55.7625,0.0,1958.1173333333331,428.0584019477893,1016.72,2597.84,1920.1200000000001,1860.3774999999998,421.0772953103118,838.01,2904.34,-1010.5999999999999,1,0,0,0,1567.92,1103.83,2018.8400000000001,Clear
75,2026-05-01 01:15:00+07:00,TMG-1012,31,1814.6,56.055,0,0.0,27.5,0.2175,31.6,0,0,0,2026-05-01,1,0,Friday,1,15,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1401.17,1884.02,2423.33,2050.19,1748.83,55.9275,0.0,1923.4293333333333,451.66958902445907,1016.72,2597.84,1884.02,1862.1956666666665,418.81127914233184,838.01,2904.34,413.42999999999984,1,0,0,0,1745.6,1357.6,2229.77,Clear
76,2026-05-01 01:16:00+07:00,TMG-1012,27,1631.04,55.6125,0,0.0,23.25,0.055,31.7,0,0,0,2026-05-01,1,0,Friday,1,16,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1814.6,1661.3600000000001,2162.67,2207.35,1171.55,56.765,0.0,1882.8473333333336,430.3914757431668,1016.72,2597.84,1814.6,1863.2918333333332,418.5955501739066,838.01,2904.34,-183.55999999999995,1,0,0,0,1391.47,1290.63,1829.07,Clear
77,2026-05-01 01:17:00+07:00,TMG-1012,31,1920.82,56.2375,0,0.0,23.25,0.0375,31.7,0,0,0,2026-05-01,1,0,Friday,1,17,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1631.04,2406.44,1016.72,1682.08,2513.34,57.019999999999996,0.0,1847.4053333333334,427.58288180466366,1016.72,2597.84,1714.9299999999998,1870.95,409.8372380943606,838.01,2904.34,289.78,1,0,0,0,1802.3600000000001,1544.84,1405.3200000000002,Clear
78,2026-05-01 01:18:00+07:00,TMG-1012,27,1617.29,56.1875,0,0.0,25.75,0.52,31.9,0,0,0,2026-05-01,1,0,Friday,1,18,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1920.82,2411.77,1681.26,1388.72,1340.6599999999999,56.37,0.0,1907.6786666666667,360.5985263591366,1401.17,2597.84,1814.6,1861.0746666666666,401.14239228275005,838.01,2904.34,-303.53,1,0,0,0,2511.65,893.01,1543.1399999999999,Clear
79,2026-05-01 01:19:00+07:00,TMG-1012,22,1324.6399999999999,56.025,0,0.0,27.5,0.1375,31.9,0,0,0,2026-05-01,1,0,Friday,1,19,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1617.29,1401.17,1920.1200000000001,2045.5,1398.0,55.55,0.0,1903.414,363.8313497997978,1401.17,2597.84,1814.6,1865.6851666666666,396.6239317313136,838.01,2904.34,-292.6500000000001,1,0,0,0,2853.47,1329.74,1370.0,Clear
80,2026-05-01 01:20:00+07:00,TMG-1012,37,2265.96,55.99,0,0.0,25.25,0.0775,32.0,0,0,0,2026-05-01,1,0,Friday,1,20,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1324.6399999999999,1814.6,1558.27,1971.58,1642.7800000000002,55.542500000000004,0.0,1863.7153333333333,393.1817106243929,1324.6399999999999,2597.84,1714.9299999999998,1864.4625,398.20003516938357,838.01,2904.34,941.3200000000002,1,0,0,0,2343.34,2031.02,2052.16,Clear
81,2026-05-01 01:21:00+07:00,TMG-1012,32,1971.8400000000001,56.005,0,0.0,27.0,0.32,32.2,0,0,0,2026-05-01,1,0,Friday,1,21,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,2265.96,1631.04,2328.41,838.01,1572.1499999999999,56.23,0.0,1910.8946666666668,396.3585663596369,1324.6399999999999,2597.84,1814.6,1874.8488333333335,400.4408030695956,838.01,2904.34,-294.1199999999999,1,0,0,0,2677.57,1400.87,2089.41,Clear
82,2026-05-01 01:22:00+07:00,TMG-1012,33,1957.8,55.6975,0,0.0,24.5,0.0,32.3,0,0,0,2026-05-01,1,0,Friday,1,22,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1971.8400000000001,1920.82,1714.9299999999998,2488.06,1921.74,54.11,0.0,1887.1233333333334,379.87974784635406,1324.6399999999999,2597.84,1814.6,1881.5103333333332,398.6403913812109,838.01,2904.34,-14.040000000000191,1,0,0,0,1768.05,1528.6799999999998,1553.9,Clear
83,2026-05-01 01:23:00+07:00,TMG-1012,19,1163.99,55.9725,0,0.0,26.75,0.1325,32.2,0,0,0,2026-05-01,1,0,Friday,1,23,1,4,5,0.25881904510252074,0.9659258262890683,Late Night,low,1957.8,1617.29,1683.13,1764.17,2299.8900000000003,56.435,0.0,1903.3146666666667,377.18250390923237,1324.6399999999999,2597.84,1884.02,1882.1113333333335,398.729243163985,838.01,2904.34,-793.81,1,0,0,0,1884.23,1624.6200000000001,2197.42,Clear
