camera_id,source_video,date,time,period,latitude,longitude,weather,weather_temp_c,vehicle_count,vehicle_count_1min,volume_veh_per_hour,avg_speed_kmh,density_percent,queue_length_veh,congestion_level,detected_video_path
CAM_002,pagi_cctv_001_20260518_070935.mp4,5/18/2026,6:09:33,Morning Rush,-6.2131428,106.6837664,Cloudy,25.6,23,72,4320,53.62,19.8,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_001_20260518_070935.mp4
CAM_001,pagi_cctv_002_20260518_070954.mp4,5/18/2026,6:15:26,Morning Rush,-6.1911513,106.7441887,Cloudy,26.8,67,71,4260,40.17,51.03,1,Medium,/content/outputs/detected_videos/detected_pagi_cctv_002_20260518_070954.mp4
CAM_001,pagi_cctv_003_20260614_080117.mp4,6/14/2026,8:01:17,Morning Rush,-6.1911513,106.744189,Cloudy,27.8,9,34,2040,46.51,7.59,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_003_20260614_080117.mp4
CAM_011,pagi_cctv_004_20260518_071356.mp4,5/18/2026,6:18:01,Morning Rush,-6.191635,106.730124,Cloudy,25.6,63,73,4380,35.38,51.35,1,Medium,/content/outputs/detected_videos/detected_pagi_cctv_004_20260518_071356.mp4
CAM_007,pagi_cctv_005_20260614_080139.mp4,6/14/2026,8:01:39,Morning Rush,-6.2024517,106.705216,Cloudy,27.8,54,85,5100,78.82,45.45,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_005_20260614_080139.mp4
CAM_006,pagi_cctv_006_20260518_071450.mp4,5/18/2026,6:20:24,Morning Rush,-6.2265884,106.6163871,Cloudy,25.2,93,90,5400,20.53,56.51,28,Severe,/content/outputs/detected_videos/detected_pagi_cctv_006_20260518_071450.mp4
CAM_009,pagi_cctv_007_20260614_080221.mp4,6/14/2026,8:02:21,Morning Rush,-6.226591,106.616335,Cloudy,28.1,66,83,4980,39.35,50.84,1,Medium,/content/outputs/detected_videos/detected_pagi_cctv_007_20260614_080221.mp4
CAM_011,pagi_cctv_008_20260614_083937.mp4,6/14/2026,8:39:37,Morning Rush,-6.223507,106.623837,Cloudy,28.9,239,80,4800,70.58,51.0,2,Low,/content/outputs/detected_videos/detected_pagi_cctv_008_20260614_083937.mp4
CAM_004,pagi_cctv_009_20260518_071625.mp4,5/18/2026,6:20:49,Morning Rush,-6.2024517,106.7052155,Cloudy,25.6,23,99,5940,52.23,20.01,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_009_20260518_071625.mp4
CAM_005,pagi_cctv_010_20260614_084252.mp4,6/14/2026,8:42:52,Morning Rush,-6.2225065,106.639475,Cloudy,28.9,0,0,0,80.0,0.0,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_010_20260614_084252.mp4
CAM_005,pagi_cctv_011_20260614_090616.mp4,6/14/2026,9:06:16,Daytime,-6.2225065,106.639475,Cloudy,28.9,0,0,0,80.0,0.0,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_011_20260614_090616.mp4
CAM_011,pagi_cctv_012_20260614_090310.mp4,6/14/2026,9:03:10,Daytime,-6.223507,106.623837,Cloudy,28.9,229,84,5040,74.37,51.05,3,Low,/content/outputs/detected_videos/detected_pagi_cctv_012_20260614_090310.mp4
CAM_012,pagi_cctv_013_20260614_081117.mp4,6/14/2026,8:11:17,Morning Rush,-6.234053,106.568393,Cloudy,28.4,268,92,5520,80.99,51.2,4,Low,/content/outputs/detected_videos/detected_pagi_cctv_013_20260614_081117.mp4
CAM_007,pagi_cctv_014_20260518_072255.mp4,5/18/2026,6:23:39,Morning Rush,-6.2194495,106.6572624,Cloudy,25.2,36,131,7860,28.49,31.96,2,Medium,/content/outputs/detected_videos/detected_pagi_cctv_014_20260518_072255.mp4
CAM_008,pagi_cctv_015_20260518_072703.mp4,5/18/2026,6:39:21,Morning Rush,-6.223512,106.623845,Cloudy,25.2,73,32,1920,23.29,56.44,22,Severe,/content/outputs/detected_videos/detected_pagi_cctv_015_20260518_072703.mp4
CAM_004,pagi_cctv_016_20260614_084327.mp4,6/14/2026,8:43:27,Morning Rush,-6.191635,106.730124,Cloudy,28.5,34,59,3540,80.88,28.52,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_016_20260614_084327.mp4
CAM_002,pagi_cctv_017_20260614_090631.mp4,6/14/2026,9:06:31,Daytime,-6.2131428,106.683766,Cloudy,28.5,72,68,4080,64.79,50.31,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_017_20260614_090631.mp4
CAM_001,pagi_cctv_018_20260614_090735.mp4,6/14/2026,9:07:35,Daytime,-6.1911513,106.744189,Cloudy,28.4,11,25,1500,55.19,9.23,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_018_20260614_090735.mp4
CAM_012,pagi_cctv_019_20260614_080343.mp4,6/14/2026,8:03:43,Morning Rush,-6.234053,106.568393,Cloudy,28.4,64,69,4140,86.07,51.01,1,Low,/content/outputs/detected_videos/detected_pagi_cctv_019_20260614_080343.mp4
CAM_003,pagi_cctv_020_20260614_084403.mp4,6/14/2026,8:44:03,Morning Rush,-6.191535,106.753361,Cloudy,28.4,16,75,4500,96.51,13.62,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_020_20260614_084403.mp4
CAM_009,pagi_cctv_021_20260614_090559.mp4,6/14/2026,9:05:59,Daytime,-6.226591,106.616335,Cloudy,28.9,33,137,8220,48.38,27.79,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_021_20260614_090559.mp4
CAM_004,pagi_cctv_022_20260614_090032.mp4,6/14/2026,9:00:32,Daytime,-6.191635,106.730124,Cloudy,28.5,179,71,4260,81.94,50.34,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_022_20260614_090032.mp4
CAM_007,pagi_cctv_023_20260614_090010.mp4,6/14/2026,9:00:10,Daytime,-6.2024517,106.705216,Cloudy,28.5,11,36,2160,71.39,9.39,0,Low,/content/outputs/detected_videos/detected_pagi_cctv_023_20260614_090010.mp4
CAM_012,pagi_cctv_024_20260614_083635.mp4,6/14/2026,8:36:35,Morning Rush,-6.234053,106.568393,Cloudy,29.3,235,78,4680,76.15,51.39,7,Medium,/content/outputs/detected_videos/detected_pagi_cctv_024_20260614_083635.mp4
