period,video_file,video_path,frame_second,actual_second_used,frame_file,frame_path,status,error_message
pagi,pagi_cctv_001_20260518_070935.mp4,video_input\pagi\pagi_cctv_001_20260518_070935.mp4,1,1,pagi_cctv_001_20260518_070935_frame_1s.jpg,frames\pagi\pagi_cctv_001_20260518_070935_frame_1s.jpg,success,
pagi,pagi_cctv_001_20260518_070935.mp4,video_input\pagi\pagi_cctv_001_20260518_070935.mp4,3,3,pagi_cctv_001_20260518_070935_frame_3s.jpg,frames\pagi\pagi_cctv_001_20260518_070935_frame_3s.jpg,success,
pagi,pagi_cctv_001_20260518_070935.mp4,video_input\pagi\pagi_cctv_001_20260518_070935.mp4,5,5,pagi_cctv_001_20260518_070935_frame_5s.jpg,frames\pagi\pagi_cctv_001_20260518_070935_frame_5s.jpg,success,
pagi,pagi_cctv_002_20260518_070954.mp4,video_input\pagi\pagi_cctv_002_20260518_070954.mp4,1,1,pagi_cctv_002_20260518_070954_frame_1s.jpg,frames\pagi\pagi_cctv_002_20260518_070954_frame_1s.jpg,success,
pagi,pagi_cctv_002_20260518_070954.mp4,video_input\pagi\pagi_cctv_002_20260518_070954.mp4,3,3,pagi_cctv_002_20260518_070954_frame_3s.jpg,frames\pagi\pagi_cctv_002_20260518_070954_frame_3s.jpg,success,
pagi,pagi_cctv_002_20260518_070954.mp4,video_input\pagi\pagi_cctv_002_20260518_070954.mp4,5,5,pagi_cctv_002_20260518_070954_frame_5s.jpg,frames\pagi\pagi_cctv_002_20260518_070954_frame_5s.jpg,success,
pagi,pagi_cctv_003_20260518_071057.mp4,video_input\pagi\pagi_cctv_003_20260518_071057.mp4,1,1,pagi_cctv_003_20260518_071057_frame_1s.jpg,frames\pagi\pagi_cctv_003_20260518_071057_frame_1s.jpg,success,
pagi,pagi_cctv_003_20260518_071057.mp4,video_input\pagi\pagi_cctv_003_20260518_071057.mp4,3,3,pagi_cctv_003_20260518_071057_frame_3s.jpg,frames\pagi\pagi_cctv_003_20260518_071057_frame_3s.jpg,success,
pagi,pagi_cctv_003_20260518_071057.mp4,video_input\pagi\pagi_cctv_003_20260518_071057.mp4,5,5,pagi_cctv_003_20260518_071057_frame_5s.jpg,frames\pagi\pagi_cctv_003_20260518_071057_frame_5s.jpg,success,
pagi,pagi_cctv_004_20260518_071356.mp4,video_input\pagi\pagi_cctv_004_20260518_071356.mp4,1,1,pagi_cctv_004_20260518_071356_frame_1s.jpg,frames\pagi\pagi_cctv_004_20260518_071356_frame_1s.jpg,success,
pagi,pagi_cctv_004_20260518_071356.mp4,video_input\pagi\pagi_cctv_004_20260518_071356.mp4,3,3,pagi_cctv_004_20260518_071356_frame_3s.jpg,frames\pagi\pagi_cctv_004_20260518_071356_frame_3s.jpg,success,
pagi,pagi_cctv_004_20260518_071356.mp4,video_input\pagi\pagi_cctv_004_20260518_071356.mp4,5,5,pagi_cctv_004_20260518_071356_frame_5s.jpg,frames\pagi\pagi_cctv_004_20260518_071356_frame_5s.jpg,success,
pagi,pagi_cctv_005_20260518_072312.mp4,video_input\pagi\pagi_cctv_005_20260518_072312.mp4,1,1,pagi_cctv_005_20260518_072312_frame_1s.jpg,frames\pagi\pagi_cctv_005_20260518_072312_frame_1s.jpg,success,
pagi,pagi_cctv_005_20260518_072312.mp4,video_input\pagi\pagi_cctv_005_20260518_072312.mp4,3,3,pagi_cctv_005_20260518_072312_frame_3s.jpg,frames\pagi\pagi_cctv_005_20260518_072312_frame_3s.jpg,success,
pagi,pagi_cctv_005_20260518_072312.mp4,video_input\pagi\pagi_cctv_005_20260518_072312.mp4,5,5,pagi_cctv_005_20260518_072312_frame_5s.jpg,frames\pagi\pagi_cctv_005_20260518_072312_frame_5s.jpg,success,
pagi,pagi_cctv_006_20260518_071450.mp4,video_input\pagi\pagi_cctv_006_20260518_071450.mp4,1,1,pagi_cctv_006_20260518_071450_frame_1s.jpg,frames\pagi\pagi_cctv_006_20260518_071450_frame_1s.jpg,success,
pagi,pagi_cctv_006_20260518_071450.mp4,video_input\pagi\pagi_cctv_006_20260518_071450.mp4,3,3,pagi_cctv_006_20260518_071450_frame_3s.jpg,frames\pagi\pagi_cctv_006_20260518_071450_frame_3s.jpg,success,
pagi,pagi_cctv_006_20260518_071450.mp4,video_input\pagi\pagi_cctv_006_20260518_071450.mp4,5,5,pagi_cctv_006_20260518_071450_frame_5s.jpg,frames\pagi\pagi_cctv_006_20260518_071450_frame_5s.jpg,success,
pagi,pagi_cctv_007_20260516_072612.mp4,video_input\pagi\pagi_cctv_007_20260516_072612.mp4,1,1,pagi_cctv_007_20260516_072612_frame_1s.jpg,frames\pagi\pagi_cctv_007_20260516_072612_frame_1s.jpg,success,
pagi,pagi_cctv_007_20260516_072612.mp4,video_input\pagi\pagi_cctv_007_20260516_072612.mp4,3,3,pagi_cctv_007_20260516_072612_frame_3s.jpg,frames\pagi\pagi_cctv_007_20260516_072612_frame_3s.jpg,success,
pagi,pagi_cctv_007_20260516_072612.mp4,video_input\pagi\pagi_cctv_007_20260516_072612.mp4,5,5,pagi_cctv_007_20260516_072612_frame_5s.jpg,frames\pagi\pagi_cctv_007_20260516_072612_frame_5s.jpg,success,
pagi,pagi_cctv_008_20260518_071556.mp4,video_input\pagi\pagi_cctv_008_20260518_071556.mp4,1,1,pagi_cctv_008_20260518_071556_frame_1s.jpg,frames\pagi\pagi_cctv_008_20260518_071556_frame_1s.jpg,success,
pagi,pagi_cctv_008_20260518_071556.mp4,video_input\pagi\pagi_cctv_008_20260518_071556.mp4,3,3,pagi_cctv_008_20260518_071556_frame_3s.jpg,frames\pagi\pagi_cctv_008_20260518_071556_frame_3s.jpg,success,
pagi,pagi_cctv_008_20260518_071556.mp4,video_input\pagi\pagi_cctv_008_20260518_071556.mp4,5,5,pagi_cctv_008_20260518_071556_frame_5s.jpg,frames\pagi\pagi_cctv_008_20260518_071556_frame_5s.jpg,success,
pagi,pagi_cctv_009_20260518_071625.mp4,video_input\pagi\pagi_cctv_009_20260518_071625.mp4,1,1,pagi_cctv_009_20260518_071625_frame_1s.jpg,frames\pagi\pagi_cctv_009_20260518_071625_frame_1s.jpg,success,
pagi,pagi_cctv_009_20260518_071625.mp4,video_input\pagi\pagi_cctv_009_20260518_071625.mp4,3,3,pagi_cctv_009_20260518_071625_frame_3s.jpg,frames\pagi\pagi_cctv_009_20260518_071625_frame_3s.jpg,success,
pagi,pagi_cctv_009_20260518_071625.mp4,video_input\pagi\pagi_cctv_009_20260518_071625.mp4,5,5,pagi_cctv_009_20260518_071625_frame_5s.jpg,frames\pagi\pagi_cctv_009_20260518_071625_frame_5s.jpg,success,
pagi,pagi_cctv_010_20260518_072024.mp4,video_input\pagi\pagi_cctv_010_20260518_072024.mp4,1,1,pagi_cctv_010_20260518_072024_frame_1s.jpg,frames\pagi\pagi_cctv_010_20260518_072024_frame_1s.jpg,success,
pagi,pagi_cctv_010_20260518_072024.mp4,video_input\pagi\pagi_cctv_010_20260518_072024.mp4,3,3,pagi_cctv_010_20260518_072024_frame_3s.jpg,frames\pagi\pagi_cctv_010_20260518_072024_frame_3s.jpg,success,
pagi,pagi_cctv_010_20260518_072024.mp4,video_input\pagi\pagi_cctv_010_20260518_072024.mp4,5,5,pagi_cctv_010_20260518_072024_frame_5s.jpg,frames\pagi\pagi_cctv_010_20260518_072024_frame_5s.jpg,success,
pagi,pagi_cctv_011_20260518_072213.mp4,video_input\pagi\pagi_cctv_011_20260518_072213.mp4,1,1,pagi_cctv_011_20260518_072213_frame_1s.jpg,frames\pagi\pagi_cctv_011_20260518_072213_frame_1s.jpg,success,
pagi,pagi_cctv_011_20260518_072213.mp4,video_input\pagi\pagi_cctv_011_20260518_072213.mp4,3,3,pagi_cctv_011_20260518_072213_frame_3s.jpg,frames\pagi\pagi_cctv_011_20260518_072213_frame_3s.jpg,success,
pagi,pagi_cctv_011_20260518_072213.mp4,video_input\pagi\pagi_cctv_011_20260518_072213.mp4,5,5,pagi_cctv_011_20260518_072213_frame_5s.jpg,frames\pagi\pagi_cctv_011_20260518_072213_frame_5s.jpg,success,
pagi,pagi_cctv_012_20260518_072237.mp4,video_input\pagi\pagi_cctv_012_20260518_072237.mp4,1,1,pagi_cctv_012_20260518_072237_frame_1s.jpg,frames\pagi\pagi_cctv_012_20260518_072237_frame_1s.jpg,success,
pagi,pagi_cctv_012_20260518_072237.mp4,video_input\pagi\pagi_cctv_012_20260518_072237.mp4,3,2,pagi_cctv_012_20260518_072237_frame_3s.jpg,frames\pagi\pagi_cctv_012_20260518_072237_frame_3s.jpg,success,
pagi,pagi_cctv_012_20260518_072237.mp4,video_input\pagi\pagi_cctv_012_20260518_072237.mp4,5,2,pagi_cctv_012_20260518_072237_frame_5s.jpg,frames\pagi\pagi_cctv_012_20260518_072237_frame_5s.jpg,success,
pagi,pagi_cctv_013_20260518_072249.mp4,video_input\pagi\pagi_cctv_013_20260518_072249.mp4,1,1,pagi_cctv_013_20260518_072249_frame_1s.jpg,frames\pagi\pagi_cctv_013_20260518_072249_frame_1s.jpg,success,
pagi,pagi_cctv_013_20260518_072249.mp4,video_input\pagi\pagi_cctv_013_20260518_072249.mp4,3,3,pagi_cctv_013_20260518_072249_frame_3s.jpg,frames\pagi\pagi_cctv_013_20260518_072249_frame_3s.jpg,success,
pagi,pagi_cctv_013_20260518_072249.mp4,video_input\pagi\pagi_cctv_013_20260518_072249.mp4,5,5,pagi_cctv_013_20260518_072249_frame_5s.jpg,frames\pagi\pagi_cctv_013_20260518_072249_frame_5s.jpg,success,
pagi,pagi_cctv_014_20260518_072255.mp4,video_input\pagi\pagi_cctv_014_20260518_072255.mp4,1,1,pagi_cctv_014_20260518_072255_frame_1s.jpg,frames\pagi\pagi_cctv_014_20260518_072255_frame_1s.jpg,success,
pagi,pagi_cctv_014_20260518_072255.mp4,video_input\pagi\pagi_cctv_014_20260518_072255.mp4,3,3,pagi_cctv_014_20260518_072255_frame_3s.jpg,frames\pagi\pagi_cctv_014_20260518_072255_frame_3s.jpg,success,
pagi,pagi_cctv_014_20260518_072255.mp4,video_input\pagi\pagi_cctv_014_20260518_072255.mp4,5,5,pagi_cctv_014_20260518_072255_frame_5s.jpg,frames\pagi\pagi_cctv_014_20260518_072255_frame_5s.jpg,success,
pagi,pagi_cctv_015_20260518_072703.mp4,video_input\pagi\pagi_cctv_015_20260518_072703.mp4,1,1,pagi_cctv_015_20260518_072703_frame_1s.jpg,frames\pagi\pagi_cctv_015_20260518_072703_frame_1s.jpg,success,
pagi,pagi_cctv_015_20260518_072703.mp4,video_input\pagi\pagi_cctv_015_20260518_072703.mp4,3,3,pagi_cctv_015_20260518_072703_frame_3s.jpg,frames\pagi\pagi_cctv_015_20260518_072703_frame_3s.jpg,success,
pagi,pagi_cctv_015_20260518_072703.mp4,video_input\pagi\pagi_cctv_015_20260518_072703.mp4,5,5,pagi_cctv_015_20260518_072703_frame_5s.jpg,frames\pagi\pagi_cctv_015_20260518_072703_frame_5s.jpg,success,
pagi,pagi_cctv_016_20260518_072924.mp4,video_input\pagi\pagi_cctv_016_20260518_072924.mp4,1,1,pagi_cctv_016_20260518_072924_frame_1s.jpg,frames\pagi\pagi_cctv_016_20260518_072924_frame_1s.jpg,success,
pagi,pagi_cctv_016_20260518_072924.mp4,video_input\pagi\pagi_cctv_016_20260518_072924.mp4,3,3,pagi_cctv_016_20260518_072924_frame_3s.jpg,frames\pagi\pagi_cctv_016_20260518_072924_frame_3s.jpg,success,
pagi,pagi_cctv_016_20260518_072924.mp4,video_input\pagi\pagi_cctv_016_20260518_072924.mp4,5,5,pagi_cctv_016_20260518_072924_frame_5s.jpg,frames\pagi\pagi_cctv_016_20260518_072924_frame_5s.jpg,success,
siang,siang_cctv_001_20260518_163906.mp4,video_input\siang\siang_cctv_001_20260518_163906.mp4,1,1,siang_cctv_001_20260518_163906_frame_1s.jpg,frames\siang\siang_cctv_001_20260518_163906_frame_1s.jpg,success,
siang,siang_cctv_001_20260518_163906.mp4,video_input\siang\siang_cctv_001_20260518_163906.mp4,3,3,siang_cctv_001_20260518_163906_frame_3s.jpg,frames\siang\siang_cctv_001_20260518_163906_frame_3s.jpg,success,
siang,siang_cctv_001_20260518_163906.mp4,video_input\siang\siang_cctv_001_20260518_163906.mp4,5,5,siang_cctv_001_20260518_163906_frame_5s.jpg,frames\siang\siang_cctv_001_20260518_163906_frame_5s.jpg,success,
siang,siang_cctv_002_20260518_164844.mp4,video_input\siang\siang_cctv_002_20260518_164844.mp4,1,1,siang_cctv_002_20260518_164844_frame_1s.jpg,frames\siang\siang_cctv_002_20260518_164844_frame_1s.jpg,success,
siang,siang_cctv_002_20260518_164844.mp4,video_input\siang\siang_cctv_002_20260518_164844.mp4,3,3,siang_cctv_002_20260518_164844_frame_3s.jpg,frames\siang\siang_cctv_002_20260518_164844_frame_3s.jpg,success,
siang,siang_cctv_002_20260518_164844.mp4,video_input\siang\siang_cctv_002_20260518_164844.mp4,5,5,siang_cctv_002_20260518_164844_frame_5s.jpg,frames\siang\siang_cctv_002_20260518_164844_frame_5s.jpg,success,
siang,siang_cctv_003_20260518_165921.mp4,video_input\siang\siang_cctv_003_20260518_165921.mp4,1,1,siang_cctv_003_20260518_165921_frame_1s.jpg,frames\siang\siang_cctv_003_20260518_165921_frame_1s.jpg,success,
siang,siang_cctv_003_20260518_165921.mp4,video_input\siang\siang_cctv_003_20260518_165921.mp4,3,3,siang_cctv_003_20260518_165921_frame_3s.jpg,frames\siang\siang_cctv_003_20260518_165921_frame_3s.jpg,success,
siang,siang_cctv_003_20260518_165921.mp4,video_input\siang\siang_cctv_003_20260518_165921.mp4,5,5,siang_cctv_003_20260518_165921_frame_5s.jpg,frames\siang\siang_cctv_003_20260518_165921_frame_5s.jpg,success,
