no,period,period_from_filename,cctv_id,overlay_date,overlay_time,timestamp_wib,ruas,video_file,selected_frame_path,selected_frame_second,selected_frame_file,location_type,location_text,km_text,km_decimal,manual_status,filename_parse_status,notes
1,malam,malam,cctv_001,2026-05-18,00:37:25,2026-05-18 00:37:25,Jakarta-Tangerang,malam_cctv_001_20260518_003725.mp4,frames\malam\malam_cctv_001_20260518_003725_frame_3s.jpg,3,malam_cctv_001_20260518_003725_frame_3s.jpg,gate,GT MERUYA 2B,,,need_location_input,valid,
2,malam,malam,cctv_002,2026-05-18,00:39:09,2026-05-18 00:39:09,Jakarta-Tangerang,malam_cctv_002_20260518_003909.mp4,frames\malam\malam_cctv_002_20260518_003909_frame_3s.jpg,3,malam_cctv_002_20260518_003909_frame_3s.jpg,km,KM 04+600,04+600,,need_location_input,valid,
3,malam,malam,cctv_003,2026-05-18,00:40:22,2026-05-18 00:40:22,Jakarta-Tangerang,malam_cctv_003_20260518_004022.mp4,frames\malam\malam_cctv_003_20260518_004022_frame_3s.jpg,3,malam_cctv_003_20260518_004022_frame_3s.jpg,km,KM 11+600,11+600,,need_location_input,valid,
4,malam,malam,cctv_004,2026-05-18,00:40:58,2026-05-18 00:40:58,Jakarta-Tangerang,malam_cctv_004_20260518_004058.mp4,frames\malam\malam_cctv_004_20260518_004058_frame_3s.jpg,3,malam_cctv_004_20260518_004058_frame_3s.jpg,km,KM 00+600,00+600,,need_location_input,valid,
5,malam,malam,cctv_005,2026-05-18,00:43:57,2026-05-18 00:43:57,Jakarta-Tangerang,malam_cctv_005_20260518_004357.mp4,frames\malam\malam_cctv_005_20260518_004357_frame_3s.jpg,3,malam_cctv_005_20260518_004357_frame_3s.jpg,km,KM 13+600,13+600,,need_location_input,valid,
6,malam,malam,cctv_006,2026-05-18,03:38:52,2026-05-18 03:38:52,Jakarta-Tangerang,malam_cctv_006_20260518_033852.mp4,frames\malam\malam_cctv_006_20260518_033852_frame_3s.jpg,3,malam_cctv_006_20260518_033852_frame_3s.jpg,km,KM 25+500,25+500,,need_location_input,valid,
7,malam,malam,cctv_007,2026-05-18,03:31:46,2026-05-18 03:31:46,Jakarta-Tangerang,malam_cctv_007_20260518_033146.mp4,frames\malam\malam_cctv_007_20260518_033146_frame_3s.jpg,3,malam_cctv_007_20260518_033146_frame_3s.jpg,km,KM 17+500,17+500,,need_location_input,valid,
8,malam,malam,cctv_008,2026-05-18,00:45:04,2026-05-18 00:45:04,Jakarta-Tangerang,malam_cctv_008_20260518_004504.mp4,frames\malam\malam_cctv_008_20260518_004504_frame_3s.jpg,3,malam_cctv_008_20260518_004504_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
9,malam,malam,cctv_009,2026-05-18,00:45:24,2026-05-18 00:45:24,Jakarta-Tangerang,malam_cctv_009_20260518_004524.mp4,frames\malam\malam_cctv_009_20260518_004524_frame_3s.jpg,3,malam_cctv_009_20260518_004524_frame_3s.jpg,km,KM 10+600,10+600,,need_location_input,valid,
10,malam,malam,cctv_010,2026-05-18,00:45:48,2026-05-18 00:45:48,Jakarta-Tangerang,malam_cctv_010_20260518_004548.mp4,frames\malam\malam_cctv_010_20260518_004548_frame_3s.jpg,3,malam_cctv_010_20260518_004548_frame_3s.jpg,km,KM 19+300,19+300,,need_location_input,valid,
11,malam,malam,cctv_011,2026-05-18,00:49:00,2026-05-18 00:49:00,Jakarta-Tangerang,malam_cctv_011_20260518_004900.mp4,frames\malam\malam_cctv_011_20260518_004900_frame_3s.jpg,3,malam_cctv_011_20260518_004900_frame_3s.jpg,km,KM 17+500,17+500,,need_location_input,valid,
