camera_id,camera_key,ruas,location_type,location_text,km_text,km_decimal,camera_label,video_count,lat,lon,coordinate_source,confidence,coordinate_notes
CAM_001,jakarta-tangerang_gate_gt_meruya_2b,Jakarta-Tangerang,gate,GT MERUYA 2B,,,GT MERUYA 2B,4,-6.1911513,106.7441887,Google Maps,"high ",
CAM_002,jakarta-tangerang_km_km_00plus600,Jakarta-Tangerang,km,KM 00+600,00+600,0.6,KM 00+600,4,-6.2131428,106.6837664,Google Maps,high,
CAM_003,jakarta-tangerang_km_km_10plus600,Jakarta-Tangerang,km,KM 10+600,10+600,10.6,KM 10+600,3,-6.2225065,106.6394746,Google Maps,medium,
CAM_004,jakarta-tangerang_km_km_11plus600,Jakarta-Tangerang,km,KM 11+600,11+600,11.6,KM 11+600,4,-6.2024517,106.7052155,Google Maps,medium,
CAM_005,jakarta-tangerang_km_km_13plus600,Jakarta-Tangerang,km,KM 13+600,13+600,13.6,KM 13+600,3,-6.2142883,106.6820298,Google Maps,medium,
CAM_006,jakarta-tangerang_km_km_15plus500,Jakarta-Tangerang,km,KM 15+500,15+500,15.5,KM 15+500,3,-6.2265884,106.6163871,Google Maps,medium,
CAM_007,jakarta-tangerang_km_km_17plus500,Jakarta-Tangerang,km,KM 17+500,17+500,17.5,KM 17+500,3,-6.2194495,106.6572624,Google Maps,medium,
CAM_008,jakarta-tangerang_km_km_19plus300,Jakarta-Tangerang,km,KM 19+300,19+300,19.3,KM 19+300,3,-6.223512,106.623845,Google Maps,medium,
CAM_009,jakarta-tangerang_km_km_25plus500,Jakarta-Tangerang,km,KM 25+500,25+500,25.5,KM 25+500,2,-6.234052,106.568412,Google Maps,medium,
CAM_010,jakarta-tangerang_km_km_04plus600,Jakarta-Tangerang,km,KM 04+600,04+600,4.6,KM 04+600,4,-6.191542,106.753315,Google Maps,medium,
CAM_011,jakarta-tangerang_km_km_07plus200,Jakarta-Tangerang,km,KM 07+200,07+200,7.2,KM 07+200,8,-6.191635,106.730124,Google Maps,medium,
