period_folder,period_from_filename,video_file,video_path,cctv_id,date_raw,time_raw,timestamp_from_filename,filename_status
pagi,pagi,pagi_cctv_001_20260518_070935.mp4,video_input\pagi\pagi_cctv_001_20260518_070935.mp4,cctv_001,20260518,070935,2026-05-18 07:09:35,valid
pagi,pagi,pagi_cctv_002_20260518_070954.mp4,video_input\pagi\pagi_cctv_002_20260518_070954.mp4,cctv_002,20260518,070954,2026-05-18 07:09:54,valid
pagi,pagi,pagi_cctv_003_20260518_071057.mp4,video_input\pagi\pagi_cctv_003_20260518_071057.mp4,cctv_003,20260518,071057,2026-05-18 07:10:57,valid
pagi,pagi,pagi_cctv_004_20260518_071356.mp4,video_input\pagi\pagi_cctv_004_20260518_071356.mp4,cctv_004,20260518,071356,2026-05-18 07:13:56,valid
pagi,pagi,pagi_cctv_005_20260518_072312.mp4,video_input\pagi\pagi_cctv_005_20260518_072312.mp4,cctv_005,20260518,072312,2026-05-18 07:23:12,valid
pagi,pagi,pagi_cctv_006_20260518_071450.mp4,video_input\pagi\pagi_cctv_006_20260518_071450.mp4,cctv_006,20260518,071450,2026-05-18 07:14:50,valid
pagi,pagi,pagi_cctv_007_20260516_072612.mp4,video_input\pagi\pagi_cctv_007_20260516_072612.mp4,cctv_007,20260516,072612,2026-05-16 07:26:12,valid
pagi,pagi,pagi_cctv_008_20260518_071556.mp4,video_input\pagi\pagi_cctv_008_20260518_071556.mp4,cctv_008,20260518,071556,2026-05-18 07:15:56,valid
pagi,pagi,pagi_cctv_009_20260518_071625.mp4,video_input\pagi\pagi_cctv_009_20260518_071625.mp4,cctv_009,20260518,071625,2026-05-18 07:16:25,valid
pagi,pagi,pagi_cctv_010_20260518_072024.mp4,video_input\pagi\pagi_cctv_010_20260518_072024.mp4,cctv_010,20260518,072024,2026-05-18 07:20:24,valid
pagi,pagi,pagi_cctv_011_20260518_072213.mp4,video_input\pagi\pagi_cctv_011_20260518_072213.mp4,cctv_011,20260518,072213,2026-05-18 07:22:13,valid
pagi,pagi,pagi_cctv_012_20260518_072237.mp4,video_input\pagi\pagi_cctv_012_20260518_072237.mp4,cctv_012,20260518,072237,2026-05-18 07:22:37,valid
