no,period,period_from_filename,cctv_id,overlay_date,overlay_time,timestamp_wib,ruas,video_file,selected_frame_path,selected_frame_second,selected_frame_file,location_type,location_text,km_text,km_decimal,manual_status,filename_parse_status,notes,camera_label,camera_key,camera_id,lat,lon,coordinate_source,confidence,coordinate_notes,coordinate_status,coordinate_issues,join_coordinate_status,weather_hour,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,weather_code,weather_status,weather_error
1,malam,malam,cctv_001,2026-05-18,00:37:25,2026-05-18 00:37:25,Jakarta-Tangerang,malam_cctv_001_20260518_003725.mp4,frames\malam\malam_cctv_001_20260518_003725_frame_3s.jpg,3,malam_cctv_001_20260518_003725_frame_3s.jpg,gate,GT MERUYA 2B,,,valid,valid,,GT MERUYA 2B,jakarta-tangerang_gate_gt_meruya_2b,CAM_001,-6.1911513,106.7441887,Google Maps,high,,valid,,valid,2026-05-18T01:00,26.5,88,0.0,0.0,98,2.2,3,valid,
2,malam,malam,cctv_002,2026-05-18,00:39:09,2026-05-18 00:39:09,Jakarta-Tangerang,malam_cctv_002_20260518_003909.mp4,frames\malam\malam_cctv_002_20260518_003909_frame_3s.jpg,3,malam_cctv_002_20260518_003909_frame_3s.jpg,km,KM 04+600,04+600,4.6,valid,valid,,KM 04+600,jakarta-tangerang_km_km_04plus600,CAM_010,-6.191542,106.753315,Google Maps,medium,,valid,,valid,2026-05-18T01:00,26.6,82,0.0,0.0,98,3.3,3,valid,
3,malam,malam,cctv_003,2026-05-18,00:40:22,2026-05-18 00:40:22,Jakarta-Tangerang,malam_cctv_003_20260518_004022.mp4,frames\malam\malam_cctv_003_20260518_004022_frame_3s.jpg,3,malam_cctv_003_20260518_004022_frame_3s.jpg,km,KM 11+600,11+600,11.6,valid,valid,,KM 11+600,jakarta-tangerang_km_km_11plus600,CAM_004,-6.2024517,106.7052155,Google Maps,medium,,valid,,valid,2026-05-18T01:00,25.9,85,0.0,0.0,98,4.2,3,valid,
4,malam,malam,cctv_004,2026-05-18,00:40:58,2026-05-18 00:40:58,Jakarta-Tangerang,malam_cctv_004_20260518_004058.mp4,frames\malam\malam_cctv_004_20260518_004058_frame_3s.jpg,3,malam_cctv_004_20260518_004058_frame_3s.jpg,km,KM 00+600,00+600,0.6,valid,valid,,KM 00+600,jakarta-tangerang_km_km_00plus600,CAM_002,-6.2131428,106.6837664,Google Maps,high,,valid,,valid,2026-05-18T01:00,25.9,85,0.0,0.0,98,4.2,3,valid,
5,malam,malam,cctv_005,2026-05-18,00:43:57,2026-05-18 00:43:57,Jakarta-Tangerang,malam_cctv_005_20260518_004357.mp4,frames\malam\malam_cctv_005_20260518_004357_frame_3s.jpg,3,malam_cctv_005_20260518_004357_frame_3s.jpg,km,KM 13+600,13+600,13.6,valid,valid,,KM 13+600,jakarta-tangerang_km_km_13plus600,CAM_005,-6.2142883,106.6820298,Google Maps,medium,,valid,,valid,2026-05-18T01:00,25.9,85,0.0,0.0,98,4.2,3,valid,
6,malam,malam,cctv_006,2026-05-18,03:38:52,2026-05-18 03:38:52,Jakarta-Tangerang,malam_cctv_006_20260518_033852.mp4,frames\malam\malam_cctv_006_20260518_033852_frame_3s.jpg,3,malam_cctv_006_20260518_033852_frame_3s.jpg,km,KM 25+500,25+500,25.5,valid,valid,,KM 25+500,jakarta-tangerang_km_km_25plus500,CAM_009,-6.234052,106.568412,Google Maps,medium,,valid,,valid,2026-05-18T04:00,24.0,98,0.0,0.0,87,0.4,3,valid,
7,malam,malam,cctv_007,2026-05-18,03:31:46,2026-05-18 03:31:46,Jakarta-Tangerang,malam_cctv_007_20260518_033146.mp4,frames\malam\malam_cctv_007_20260518_033146_frame_3s.jpg,3,malam_cctv_007_20260518_033146_frame_3s.jpg,km,KM 17+500,17+500,17.5,valid,valid,,KM 17+500,jakarta-tangerang_km_km_17plus500,CAM_007,-6.2194495,106.6572624,Google Maps,medium,,valid,,valid,2026-05-18T04:00,24.5,92,0.0,0.0,94,3.5,3,valid,
8,malam,malam,cctv_008,2026-05-18,00:45:04,2026-05-18 00:45:04,Jakarta-Tangerang,malam_cctv_008_20260518_004504.mp4,frames\malam\malam_cctv_008_20260518_004504_frame_3s.jpg,3,malam_cctv_008_20260518_004504_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T01:00,25.9,85,0.0,0.0,98,4.2,3,valid,
9,malam,malam,cctv_009,2026-05-18,00:45:24,2026-05-18 00:45:24,Jakarta-Tangerang,malam_cctv_009_20260518_004524.mp4,frames\malam\malam_cctv_009_20260518_004524_frame_3s.jpg,3,malam_cctv_009_20260518_004524_frame_3s.jpg,km,KM 10+600,10+600,10.6,valid,valid,,KM 10+600,jakarta-tangerang_km_km_10plus600,CAM_003,-6.2225065,106.6394746,Google Maps,medium,,valid,,valid,2026-05-18T01:00,25.5,91,0.0,0.0,98,5.6,3,valid,
10,malam,malam,cctv_010,2026-05-18,00:45:48,2026-05-18 00:45:48,Jakarta-Tangerang,malam_cctv_010_20260518_004548.mp4,frames\malam\malam_cctv_010_20260518_004548_frame_3s.jpg,3,malam_cctv_010_20260518_004548_frame_3s.jpg,km,KM 19+300,19+300,19.3,valid,valid,,KM 19+300,jakarta-tangerang_km_km_19plus300,CAM_008,-6.223512,106.623845,Google Maps,medium,,valid,,valid,2026-05-18T01:00,25.5,91,0.0,0.0,98,5.6,3,valid,
