cache_key,lat,lon,date,status,error_message
"(-6.19115, 106.74419, '2026-05-18')",-6.1911513,106.7441887,2026-05-18,success,
"(-6.19154, 106.75332, '2026-05-18')",-6.191542,106.753315,2026-05-18,success,
"(-6.20245, 106.70522, '2026-05-18')",-6.2024517,106.7052155,2026-05-18,success,
"(-6.21314, 106.68377, '2026-05-18')",-6.2131428,106.6837664,2026-05-18,success,
"(-6.21429, 106.68203, '2026-05-18')",-6.2142883,106.6820298,2026-05-18,success,
"(-6.23405, 106.56841, '2026-05-18')",-6.234052,106.568412,2026-05-18,success,
"(-6.21945, 106.65726, '2026-05-18')",-6.2194495,106.6572624,2026-05-18,success,
"(-6.19163, 106.73012, '2026-05-18')",-6.191635,106.730124,2026-05-18,success,
"(-6.22251, 106.63947, '2026-05-18')",-6.2225065,106.6394746,2026-05-18,success,
"(-6.22351, 106.62385, '2026-05-18')",-6.223512,106.623845,2026-05-18,success,
"(-6.22659, 106.61639, '2026-05-18')",-6.2265884,106.6163871,2026-05-18,success,
"(-6.20245, 106.70522, '2026-05-16')",-6.2024517,106.7052155,2026-05-16,success,
