image,approach,vehicle_count_1min,volume_veh_per_hour,queue_length_veh,density_percent,avg_speed_kmh
frame_0058,LEFT,5,300,0,10.952899932861328,45.0
frame_0058,CENTER,3,180,0,7.000999927520752,55.0
frame_0058,RIGHT,1,60,0,8.034099578857422,55.0
frame_0330,LEFT,5,300,0,8.944600105285645,55.0
frame_0330,CENTER,5,300,0,6.774499893188477,55.0
frame_0330,RIGHT,0,0,0,0.0,60.0
frame_0052,LEFT,6,360,0,18.43120002746582,45.0
frame_0052,CENTER,2,120,0,6.357900142669678,55.0
frame_0052,RIGHT,1,60,0,6.4096999168396,55.0
frame_0239,LEFT,5,300,0,3.890700101852417,55.0
frame_0239,CENTER,6,360,0,3.90120005607605,55.0
frame_0239,RIGHT,0,0,0,0.0,60.0
frame_0321,LEFT,5,300,0,5.845300197601318,55.0
frame_0321,CENTER,5,300,0,5.683599948883057,55.0
frame_0321,RIGHT,0,0,0,0.0,60.0
frame_0344,LEFT,6,360,0,21.636600494384766,35.0
frame_0344,CENTER,4,240,0,9.413299560546875,55.0
frame_0344,RIGHT,0,0,0,0.0,60.0
frame_0144,LEFT,2,120,0,4.287700176239014,55.0
frame_0144,CENTER,5,300,0,7.3470001220703125,55.0
frame_0144,RIGHT,0,0,0,0.0,60.0
frame_0141,LEFT,2,120,0,4.039999961853027,55.0
frame_0141,CENTER,6,360,0,6.28380012512207,55.0
frame_0141,RIGHT,0,0,0,0.0,60.0
frame_0019,LEFT,6,360,0,13.893199920654297,45.0
frame_0019,CENTER,2,120,0,5.319499969482422,55.0
frame_0019,RIGHT,0,0,0,0.0,60.0
frame_0154,LEFT,3,180,0,8.835800170898438,55.0
frame_0154,CENTER,8,480,0,10.39430046081543,45.0
frame_0154,RIGHT,0,0,0,0.0,60.0
frame_0337,LEFT,5,300,0,13.309300422668457,45.0
frame_0337,CENTER,5,300,0,8.255000114440918,55.0
frame_0337,RIGHT,0,0,0,0.0,60.0
frame_0358,LEFT,4,240,0,9.901100158691406,55.0
frame_0358,CENTER,5,300,0,9.250200271606445,55.0
frame_0358,RIGHT,0,0,0,0.0,60.0
frame_0046,LEFT,6,360,0,15.179900169372559,45.0
frame_0046,CENTER,2,120,0,6.421199798583984,55.0
frame_0046,RIGHT,1,60,0,5.6529998779296875,55.0
frame_0289,LEFT,6,360,0,4.945199966430664,55.0
frame_0289,CENTER,6,360,0,10.451899528503418,45.0
frame_0289,RIGHT,0,0,0,0.0,60.0
frame_0271,LEFT,5,300,0,6.623499870300293,55.0
frame_0271,CENTER,6,360,0,6.265999794006348,55.0
frame_0271,RIGHT,0,0,0,0.0,60.0
frame_0369,LEFT,4,240,0,16.13559913635254,45.0
frame_0369,CENTER,4,240,0,4.875199794769287,55.0
frame_0369,RIGHT,0,0,0,0.0,60.0
frame_0034,LEFT,5,300,0,7.229700088500977,55.0
frame_0034,CENTER,2,120,0,5.700099945068359,55.0
frame_0034,RIGHT,1,60,0,4.251100063323975,55.0
frame_0361,LEFT,3,180,0,9.794599533081055,55.0
frame_0361,CENTER,5,300,0,7.916800022125244,55.0
frame_0361,RIGHT,0,0,0,0.0,60.0
frame_0211,LEFT,5,300,0,8.765299797058105,55.0
frame_0211,CENTER,6,360,0,3.0488998889923096,55.0
frame_0211,RIGHT,0,0,0,0.0,60.0
frame_0037,LEFT,5,300,0,8.377400398254395,55.0
frame_0037,CENTER,2,120,0,5.734899997711182,55.0
frame_0037,RIGHT,1,60,0,5.235899925231934,55.0
frame_0360,LEFT,3,180,0,9.285099983215332,55.0
frame_0360,CENTER,5,300,0,8.641400337219238,55.0
frame_0360,RIGHT,0,0,0,0.0,60.0
frame_0103,LEFT,3,180,0,10.481499671936035,45.0
frame_0103,CENTER,3,180,0,13.597200393676758,45.0
frame_0103,RIGHT,0,0,0,0.0,60.0
frame_0096,LEFT,3,180,0,6.485899925231934,55.0
frame_0096,CENTER,3,180,0,12.36240005493164,45.0
frame_0096,RIGHT,0,0,0,0.0,60.0
frame_0331,LEFT,5,300,0,10.068099975585938,45.0
frame_0331,CENTER,5,300,0,6.862400054931641,55.0
frame_0331,RIGHT,0,0,0,0.0,60.0
frame_0033,LEFT,5,300,0,6.671299934387207,55.0
frame_0033,CENTER,2,120,0,5.575399875640869,55.0
frame_0033,RIGHT,1,60,0,3.516900062561035,55.0
frame_0080,LEFT,2,120,0,2.529900074005127,55.0
